Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,30,4,Some Random Comment with Id 0
1,0,4,76,5,Some Random Comment with Id 1
2,0,4,100,7,Some Random Comment with Id 2
3,0,4,4,5,Some Random Comment with Id 3
4,0,4,40,1,Some Random Comment with Id 4
5,0,4,199,8,Some Random Comment with Id 5
6,0,4,153,5,Some Random Comment with Id 6
7,0,4,40,6,Some Random Comment with Id 7
8,0,4,73,2,Some Random Comment with Id 8
9,1,4,89,0,Some Random Comment with Id 9
10,1,4,145,6,Some Random Comment with Id 10
11,1,4,192,4,Some Random Comment with Id 11
12,1,4,112,5,Some Random Comment with Id 12
13,1,4,56,4,Some Random Comment with Id 13
14,1,4,29,5,Some Random Comment with Id 14
15,1,4,198,4,Some Random Comment with Id 15
16,1,4,118,1,Some Random Comment with Id 16
17,2,2,129,6,Some Random Comment with Id 17
18,2,2,44,6,Some Random Comment with Id 18
19,2,2,75,4,Some Random Comment with Id 19
20,3,1,181,9,Some Random Comment with Id 20
21,3,1,15,7,Some Random Comment with Id 21
22,3,1,195,9,Some Random Comment with Id 22
23,3,1,127,3,Some Random Comment with Id 23
24,3,1,58,0,Some Random Comment with Id 24
25,3,1,94,1,Some Random Comment with Id 25
26,3,1,150,5,Some Random Comment with Id 26
27,3,1,27,3,Some Random Comment with Id 27
28,4,7,7,0,Some Random Comment with Id 28
29,4,7,19,7,Some Random Comment with Id 29
30,5,0,131,1,Some Random Comment with Id 30
31,5,0,23,9,Some Random Comment with Id 31
32,6,3,34,7,Some Random Comment with Id 32
33,6,3,85,0,Some Random Comment with Id 33
34,6,3,65,3,Some Random Comment with Id 34
35,6,3,182,6,Some Random Comment with Id 35
36,6,3,38,1,Some Random Comment with Id 36
37,6,3,3,0,Some Random Comment with Id 37
38,6,3,139,0,Some Random Comment with Id 38
39,6,3,110,9,Some Random Comment with Id 39
40,7,4,42,4,Some Random Comment with Id 40
41,7,4,6,7,Some Random Comment with Id 41
42,7,4,185,2,Some Random Comment with Id 42
43,7,4,80,9,Some Random Comment with Id 43
44,8,6,84,0,Some Random Comment with Id 44
45,8,6,56,7,Some Random Comment with Id 45
46,8,6,130,1,Some Random Comment with Id 46
47,8,6,140,1,Some Random Comment with Id 47
48,8,6,34,4,Some Random Comment with Id 48
49,8,6,106,9,Some Random Comment with Id 49
50,9,3,56,2,Some Random Comment with Id 50
51,9,3,61,6,Some Random Comment with Id 51
52,9,3,125,8,Some Random Comment with Id 52
53,9,3,0,3,Some Random Comment with Id 53
54,9,3,153,9,Some Random Comment with Id 54
55,10,0,49,7,Some Random Comment with Id 55
56,10,0,76,2,Some Random Comment with Id 56
57,10,0,51,2,Some Random Comment with Id 57
58,10,0,184,1,Some Random Comment with Id 58
59,10,0,170,9,Some Random Comment with Id 59
60,10,0,135,4,Some Random Comment with Id 60
61,11,0,86,7,Some Random Comment with Id 61
62,11,0,116,7,Some Random Comment with Id 62
63,11,0,179,0,Some Random Comment with Id 63
64,11,0,182,8,Some Random Comment with Id 64
65,12,6,78,8,Some Random Comment with Id 65
66,12,6,10,4,Some Random Comment with Id 66
67,12,6,164,1,Some Random Comment with Id 67
68,12,6,180,1,Some Random Comment with Id 68
69,12,6,50,1,Some Random Comment with Id 69
70,12,6,195,3,Some Random Comment with Id 70
71,12,6,152,0,Some Random Comment with Id 71
72,12,6,174,9,Some Random Comment with Id 72
73,13,8,77,0,Some Random Comment with Id 73
74,13,8,136,7,Some Random Comment with Id 74
75,13,8,10,8,Some Random Comment with Id 75
76,13,8,24,0,Some Random Comment with Id 76
77,13,8,120,5,Some Random Comment with Id 77
78,13,8,31,6,Some Random Comment with Id 78
79,13,8,14,0,Some Random Comment with Id 79
80,14,1,184,1,Some Random Comment with Id 80
81,14,1,49,2,Some Random Comment with Id 81
82,14,1,75,2,Some Random Comment with Id 82
83,14,1,190,3,Some Random Comment with Id 83
84,14,1,179,3,Some Random Comment with Id 84
85,14,1,59,6,Some Random Comment with Id 85
86,14,1,67,3,Some Random Comment with Id 86
